cf_id,contact_id,company_name,goal,pledged,outcome,launch_date,end_date,category & sub-category,category,subcategory
147,4661,"Baldwin, Riley and Jackson",100.0,0.0,failed,2020-02-13,2021-03-01,food/food trucks,food,food trucks
1621,3765,Odom Inc,1400.0,14560.0,successful,2021-01-25,2021-05-25,music/rock,music,rock
1812,4187,"Melton, Robinson and Fritz",108400.0,142523.0,successful,2020-12-17,2021-12-30,technology/web,technology,web
2156,4941,"Mcdonald, Gonzalez and Ross",4200.0,2477.0,failed,2021-10-21,2022-01-17,music/rock,music,rock
1365,2199,Larson-Little,7600.0,5265.0,failed,2020-12-21,2021-08-23,theater/plays,theater,plays
2057,5650,Harris Group,7600.0,13195.0,successful,2020-12-11,2021-08-29,theater/plays,theater,plays
1894,5889,"Ortiz, Coleman and Mitchell",5200.0,1090.0,failed,2020-07-31,2021-05-11,film & video/documentary,film & video,documentary
2669,4842,Carter-Guzman,4500.0,14741.0,successful,2020-12-22,2021-09-21,theater/plays,theater,plays
1114,3280,Nunez-Richards,110100.0,21946.0,live,2020-04-08,2021-03-10,theater/plays,theater,plays
970,5468,"Rangel, Holt and Jones",6200.0,3208.0,failed,2021-08-13,2021-08-31,music/electric music,music,electric music
2340,3064,Green Ltd,5200.0,13838.0,successful,2020-07-11,2021-08-02,film & video/drama,film & video,drama
601,4904,"Perez, Johnson and Gardner",6300.0,3030.0,failed,2020-08-11,2021-06-26,theater/plays,theater,plays
1950,1299,Kim Ltd,6300.0,5629.0,failed,2020-11-14,2021-04-09,film & video/drama,film & video,drama
671,5602,"Walker, Taylor and Coleman",4200.0,10295.0,successful,2020-11-11,2021-11-06,music/indie rock,music,indie rock
1683,5753,"Rodriguez, Rose and Stewart",28200.0,18829.0,failed,2021-11-14,2022-01-02,music/indie rock,music,indie rock
505,4495,"Wright, Hunt and Rowe",81200.0,38414.0,failed,2021-10-25,2021-12-16,technology/wearables,technology,wearables
1245,4269,Hines Inc,1700.0,11041.0,successful,2021-08-20,2021-12-22,publishing/nonfiction,publishing,nonfiction
2550,2226,Cochran-Nguyen,84600.0,134845.0,successful,2020-04-12,2021-03-24,film & video/animation,film & video,animation
875,1558,Johnson-Gould,9100.0,6089.0,canceled,2021-03-24,2022-01-27,theater/plays,theater,plays
2283,2307,Perez-Hess,62500.0,30331.0,failed,2021-10-12,2021-11-17,theater/plays,theater,plays
118,2900,"Reeves, Thompson and Richardson",131800.0,147936.0,successful,2020-04-12,2021-04-09,film & video/drama,film & video,drama
711,5695,Simmons-Reynolds,94000.0,38533.0,failed,2021-03-14,2021-04-29,theater/plays,theater,plays
1747,5708,Collier Inc,59100.0,75690.0,successful,2020-07-06,2021-08-04,theater/plays,theater,plays
1825,1663,Gray-Jenkins,4500.0,14942.0,successful,2021-07-23,2021-09-12,film & video/documentary,film & video,documentary
1019,3605,"Scott, Wilson and Martin",92400.0,104257.0,successful,2021-05-01,2021-10-01,technology/wearables,technology,wearables
821,4678,"Caldwell, Velazquez and Wilson",5500.0,11904.0,successful,2020-10-09,2021-05-23,games/video games,games,video games
2653,2251,Spencer-Bates,107500.0,51814.0,canceled,2020-11-20,2021-07-27,theater/plays,theater,plays
2502,6202,"Best, Carr and Williams",2000.0,1599.0,failed,2021-01-08,2021-10-15,music/rock,music,rock
325,3715,"Campbell, Brown and Powell",130800.0,137635.0,successful,2020-12-23,2021-12-23,theater/plays,theater,plays
1345,4242,"Johnson, Parker and Haynes",45900.0,150965.0,successful,2020-11-06,2021-08-27,film & video/shorts,film & video,shorts
2303,4326,Clark-Cooke,9000.0,14455.0,successful,2020-10-28,2021-02-15,film & video/animation,film & video,animation
2224,5560,Schroeder Ltd,3500.0,10850.0,successful,2020-11-25,2021-02-05,games/video games,games,video games
1173,4002,Jackson PLC,101000.0,87676.0,failed,2021-02-21,2021-11-26,film & video/documentary,film & video,documentary
210,3813,"Blair, Collins and Carter",50200.0,189666.0,successful,2021-04-04,2021-12-09,theater/plays,theater,plays
1546,5336,Maldonado and Sons,9300.0,14025.0,successful,2021-01-26,2021-12-10,film & video/documentary,film & video,documentary
2871,4994,Mitchell and Sons,125500.0,188628.0,successful,2021-03-16,2021-03-25,film & video/drama,film & video,drama
2034,1471,Jackson-Lewis,700.0,1101.0,successful,2021-04-07,2021-11-26,theater/plays,theater,plays
2677,4482,"Black, Armstrong and Anderson",8100.0,11339.0,successful,2020-11-20,2021-10-18,publishing/fiction,publishing,fiction
1865,3241,Maldonado-Gonzalez,3100.0,10085.0,successful,2021-08-23,2022-01-10,photography/photography books,photography,photography books
170,3477,Kim-Rice,9900.0,5027.0,failed,2021-04-14,2021-05-01,theater/plays,theater,plays
462,2265,"Garcia, Garcia and Lopez",8800.0,14878.0,successful,2020-11-18,2021-03-18,technology/wearables,technology,wearables
3122,5911,Watts Group,5600.0,11924.0,successful,2021-03-17,2021-07-08,music/rock,music,rock
1175,2288,Werner-Bryant,1800.0,7991.0,successful,2020-06-20,2021-01-30,food/food trucks,food,food trucks
2301,4064,Schmitt-Mendoza,90200.0,167717.0,successful,2020-11-14,2021-07-06,publishing/radio & podcasts,publishing,radio & podcasts
91,1294,Reid-Mccullough,1600.0,10541.0,successful,2020-11-25,2021-03-01,publishing/fiction,publishing,fiction
87,5008,Woods-Clark,9500.0,4530.0,failed,2021-01-18,2021-03-20,theater/plays,theater,plays
1482,3604,"Vaughn, Hunt and Caldwell",3700.0,4247.0,successful,2021-05-23,2021-09-23,music/rock,music,rock
1711,3263,Bennett and Sons,1500.0,7129.0,successful,2020-12-18,2021-06-27,theater/plays,theater,plays
2294,5631,Lamb Inc,33300.0,128862.0,successful,2021-02-22,2021-11-10,theater/plays,theater,plays
2389,2851,Casey-Kelly,7200.0,13653.0,successful,2021-01-25,2022-01-30,music/rock,music,rock
378,3714,"Jones, Taylor and Moore",100.0,2.0,failed,2021-10-08,2021-11-03,music/metal,music,metal
1213,1664,"Bradshaw, Gill and Donovan",158100.0,145243.0,failed,2020-09-07,2021-07-29,technology/wearables,technology,wearables
29,5027,"Hernandez, Rodriguez and Clark",7200.0,2459.0,failed,2021-03-12,2022-01-05,theater/plays,theater,plays
2309,3070,Smith-Jones,8800.0,12356.0,successful,2021-10-14,2021-12-24,film & video/drama,film & video,drama
2101,4248,Roy PLC,6000.0,5392.0,failed,2021-03-30,2021-05-24,technology/wearables,technology,wearables
1057,2034,"Wright, Brooks and Villarreal",6600.0,11746.0,successful,2021-09-29,2021-11-29,music/jazz,music,jazz
2655,4085,"Flores, Miller and Johnson",8000.0,11493.0,successful,2021-03-03,2021-05-22,technology/wearables,technology,wearables
202,3569,"Bridges, Freeman and Kim",2900.0,6243.0,successful,2021-07-23,2021-12-04,games/video games,games,video games
2025,3889,Anderson-Perez,2700.0,6132.0,successful,2021-02-09,2021-06-11,theater/plays,theater,plays
2395,3136,"Wright, Fox and Marks",1400.0,3851.0,successful,2020-12-10,2021-03-07,theater/plays,theater,plays
1418,2103,Crawford-Peters,94200.0,135997.0,successful,2020-10-20,2021-08-24,theater/plays,theater,plays
1905,2329,Romero-Hoffman,199200.0,184750.0,failed,2021-06-15,2021-10-26,theater/plays,theater,plays
1969,3325,Sparks-West,2000.0,14452.0,successful,2021-08-19,2021-11-21,technology/web,technology,web
2430,3131,"Baker, Morgan and Brown",4700.0,557.0,failed,2021-06-25,2021-07-16,theater/plays,theater,plays
1291,4995,Mosley-Gilbert,2800.0,2734.0,failed,2021-05-21,2021-09-23,technology/web,technology,web
1934,3631,Berry-Boyer,6100.0,14405.0,successful,2021-02-23,2021-11-20,theater/plays,theater,plays
1225,5373,Sanders-Allen,2900.0,1307.0,failed,2021-10-05,2021-11-06,theater/plays,theater,plays
1363,3126,Lopez Inc,72600.0,117892.0,successful,2020-11-03,2021-09-24,technology/wearables,technology,wearables
963,2194,Moreno-Turner,5700.0,14508.0,successful,2020-08-10,2021-02-07,theater/plays,theater,plays
1486,2906,Jones-Watson,7900.0,1901.0,canceled,2021-06-27,2022-01-17,theater/plays,theater,plays
676,2611,Barker Inc,128000.0,158389.0,successful,2021-08-08,2022-01-30,theater/plays,theater,plays
2137,2374,"Tate, Bass and House",6000.0,6484.0,successful,2021-03-19,2021-06-05,theater/plays,theater,plays
2656,3254,"Hampton, Lewis and Ray",600.0,4022.0,successful,2021-07-27,2021-11-30,film & video/animation,film & video,animation
1556,3571,Collins-Goodman,1400.0,9253.0,successful,2020-05-11,2021-03-09,music/jazz,music,jazz
747,2812,Davis-Michael,3900.0,4776.0,successful,2021-06-29,2021-08-27,music/metal,music,metal
